
Single objective optimization:
1 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible
I = 1.50 A | Time = 4898.0 s | Tmax = 299.83 K | Vmax = 3.367 V | J = 4941.4
I = 3.17 A | Time = 2321.0 s | Tmax = 301.92 K | Vmax = 3.389 V | J = 2504.0
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 7.32 A | Time = 1004.0 s | Tmax = 309.56 K | Vmax = 3.434 V | J = 1785.8
I = 4.73 A | Time = 1556.0 s | Tmax = 304.80 K | Vmax = 3.407 V | J = 1931.5
I = 6.16 A | Time = 1194.0 s | Tmax = 307.45 K | Vmax = 3.423 V | J = 1783.1
I = 3.59 A | Time = 2045.0 s | Tmax = 302.70 K | Vmax = 3.394 V | J = 2275.6
I = 5.09 A | Time = 1446.0 s | Tmax = 305.47 K | Vmax = 3.411 V | J = 1872.4
I = 3.86 A | Time = 1904.0 s | Tmax = 303.19 K | Vmax = 3.397 V | J = 2166.6
I = 7.70 A | Time = 955.0 s | Tmax = 310.24 K | Vmax = 3.438 V | J = 1802.4
I = 7.07 A | Time = 1040.0 s | Tmax = 309.11 K | Vmax = 3.432 V | J = 1779.3
I = 2.58 A | Time = 2845.0 s | Tmax = 300.89 K | Vmax = 3.381 V | J = 2969.9

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 7.70 A | Time = 955.0 s | Tmax = 310.24 K | Vmax = 3.438 V | J = 1802.4
I = 4.73 A | Time = 1556.0 s | Tmax = 304.80 K | Vmax = 3.407 V | J = 1931.5
I = 7.70 A | Time = 955.0 s | Tmax = 310.24 K | Vmax = 3.438 V | J = 1802.4
I = 3.86 A | Time = 1904.0 s | Tmax = 303.19 K | Vmax = 3.397 V | J = 2166.6
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 3.59 A | Time = 2045.0 s | Tmax = 302.70 K | Vmax = 3.394 V | J = 2275.6
I = 5.09 A | Time = 1446.0 s | Tmax = 305.47 K | Vmax = 3.411 V | J = 1872.4
I = 7.32 A | Time = 1004.0 s | Tmax = 309.56 K | Vmax = 3.434 V | J = 1785.8
I = 2.59 A | Time = 2834.0 s | Tmax = 300.90 K | Vmax = 3.381 V | J = 2960.0
I = 5.32 A | Time = 1381.0 s | Tmax = 305.91 K | Vmax = 3.414 V | J = 1842.2
    1               24            1779            1981        0
I = 2.59 A | Time = 2834.0 s | Tmax = 300.90 K | Vmax = 3.381 V | J = 2960.0
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 5.09 A | Time = 1446.0 s | Tmax = 305.47 K | Vmax = 3.411 V | J = 1872.4
I = 7.70 A | Time = 955.0 s | Tmax = 310.24 K | Vmax = 3.438 V | J = 1802.4
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 5.32 A | Time = 1381.0 s | Tmax = 305.91 K | Vmax = 3.414 V | J = 1842.2
I = 3.59 A | Time = 2045.0 s | Tmax = 302.70 K | Vmax = 3.394 V | J = 2275.6
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.9
I = 3.73 A | Time = 1973.0 s | Tmax = 302.94 K | Vmax = 3.396 V | J = 2219.3
